Date,Close,High,Low,Open,Volume
8/24/2016,108.03,108.75,107.68,108.565,23675081
8/25/2016,107.57,107.88,106.68,107.39,25086248
8/26/2016,106.94,107.95,106.31,107.41,27766291
8/29/2016,106.82,107.44,106.29,106.62,24970300
8/30/2016,106,106.5,105.5,105.8,24863945
8/31/2016,106.1,106.5699,105.64,105.66,29662406
9/1/2016,106.73,106.8,105.62,106.14,26701523
9/2/2016,107.73,108,106.82,107.7,26802450
9/6/2016,107.7,108.3,107.51,107.9,26880391
9/7/2016,108.36,108.76,107.07,107.83,42364328
9/8/2016,105.52,107.27,105.24,107.25,53002026
9/9/2016,103.13,105.72,103.13,104.64,46556984
9/12/2016,105.44,105.72,102.53,102.65,45292770
9/13/2016,107.95,108.79,107.24,107.51,62176190
9/14/2016,111.77,113.03,108.6,108.73,112340318
9/15/2016,115.57,115.73,113.49,113.86,90613177
9/16/2016,114.92,116.13,114.04,115.12,79886911
9/19/2016,113.58,116.18,113.25,115.19,47023046
9/20/2016,113.57,114.12,112.51,113.05,34514269
9/21/2016,113.55,113.989,112.441,113.85,36003185
9/22/2016,114.62,114.94,114,114.35,31073984
9/23/2016,112.71,114.79,111.55,114.42,52481151
9/26/2016,112.88,113.39,111.55,111.64,29869442
9/27/2016,113.09,113.18,112.34,113,24607412
9/28/2016,113.95,114.64,113.43,113.69,29641085
9/29/2016,112.18,113.8,111.8,113.16,35886990
9/30/2016,113.05,113.37,111.8,112.46,36379106
10/3/2016,112.52,113.05,112.28,112.71,21701760
10/4/2016,113,114.31,112.63,113.06,29736835
10/5/2016,113.05,113.66,112.69,113.4,21453089
10/6/2016,113.89,114.34,113.13,113.7,28779313
10/7/2016,114.06,114.56,113.51,114.31,24358443
10/10/2016,116.05,116.75,114.72,115.02,36235956
10/11/2016,116.3,118.69,116.2,117.7,64041043
10/12/2016,117.34,117.98,116.75,117.35,37586787
10/13/2016,116.98,117.44,115.72,116.79,35192406
10/14/2016,117.63,118.17,117.13,117.88,35652191
10/17/2016,117.55,117.84,116.78,117.33,23624896
10/18/2016,117.47,118.21,117.45,118.18,24553478
10/19/2016,117.12,117.76,113.8,117.25,20034594
10/20/2016,117.06,117.38,116.33,116.86,24125801
10/21/2016,116.6,116.91,116.28,116.81,23192665
10/24/2016,117.65,117.74,117,117.1,23538673
10/25/2016,118.25,118.36,117.31,117.95,48128970
10/26/2016,115.59,115.7,113.31,114.31,66134219
10/27/2016,114.48,115.86,114.1,115.39,34562045
10/28/2016,113.72,115.21,113.45,113.87,37861662
10/31/2016,113.54,114.23,113.2,113.65,26419398
11/1/2016,111.49,113.77,110.53,113.46,43825812
11/2/2016,111.59,112.35,111.23,111.4,28331709
11/3/2016,109.83,111.46,109.55,110.98,26932602
11/4/2016,108.84,110.25,108.11,108.53,30836997
11/7/2016,110.41,110.51,109.46,110.08,32560000
11/8/2016,111.06,111.72,109.7,110.31,24254179
11/9/2016,110.88,111.32,108.05,109.88,59176361
11/10/2016,107.79,111.09,105.83,111.09,57134541
11/11/2016,108.43,108.87,106.55,107.12,34143898
11/14/2016,105.71,107.809,104.08,107.71,51175504
11/15/2016,107.11,107.68,106.1593,106.57,32264510
11/16/2016,109.99,110.23,106.6,106.7,58840522
11/17/2016,109.95,110.35,108.83,109.81,27632003
11/18/2016,110.06,110.54,109.66,109.72,28428917
11/21/2016,111.73,111.99,110.01,110.12,29264571
11/22/2016,111.8,112.42,111.4,111.95,25965534
11/23/2016,111.23,111.51,110.33,111.36,27426394
11/25/2016,111.79,111.87,110.95,111.13,11475922
11/28/2016,111.57,112.465,111.39,111.43,27193983
11/29/2016,111.46,112.03,110.07,110.78,28528750
11/30/2016,110.52,112.2,110.27,111.6,36162258
12/1/2016,109.49,110.94,109.03,110.365,37086862
12/2/2016,109.9,110.09,108.85,109.17,26527997
12/5/2016,109.11,110.03,108.25,110,34324540
12/6/2016,109.95,110.36,109.19,109.5,26195462
12/7/2016,111.03,111.19,109.16,109.26,29998719
12/8/2016,112.12,112.43,110.6,110.86,27068316
12/9/2016,113.95,114.7,112.31,112.31,34402627
12/12/2016,113.3,115,112.49,113.29,26374377
12/13/2016,115.19,115.92,113.75,113.84,43733811
12/14/2016,115.19,116.2,114.98,115.04,34031834
12/15/2016,115.82,116.73,115.23,115.38,46524544
12/16/2016,115.97,116.5,115.645,116.47,44351134
12/19/2016,116.64,117.38,115.75,115.8,27779423
12/20/2016,116.95,117.5,116.68,116.74,21424965
12/21/2016,117.06,117.4,116.78,116.8,23783165
12/22/2016,116.29,116.51,115.64,116.35,26085854
12/23/2016,116.52,116.52,115.59,115.59,14249484
12/27/2016,117.26,117.8,116.49,116.52,18296855
12/28/2016,116.76,118.0166,116.2,117.52,20905892
12/29/2016,116.73,117.1095,116.4,116.45,15039519
12/30/2016,115.82,117.2,115.43,116.65,30586265
